date,PHR,GVR,TRC,VNIndex
04/07/2020,39900,8960,32100,746.6900024414063
04/06/2020,38850,9100,33000,736.75
04/03/2020,36350,8700,32450,701.7999877929688
04/01/2020,34500,8560,31500,680.22998046875
03/31/2020,33000,8380,32750,662.530029296875
03/30/2020,34350,8300,30700,662.260009765625
03/27/2020,36900,8460,33000,696.0599975585938
03/26/2020,37650,8550,32950,694.2100219726563
03/25/2020,38900,8900,32900,690.25
03/24/2020,37200,8700,32950,659.2100219726563
03/23/2020,38450,8500,31900,666.5900268554688
03/20/2020,41300,9130,31400,709.72998046875
03/19/2020,41000,9800,32800,725.9400024414063
03/18/2020,41700,10500,35200,747.6599731445313
03/17/2020,42300,11200,37000,745.780029296875
03/16/2020,41500,12500,37050,747.8599853515625
03/13/2020,41000,12600,37100,761.780029296875
03/12/2020,41400,12600,37100,769.25
03/11/2020,44500,13100,38250,811.3499755859375
03/10/2020,44600,12300,38394,837.5
03/09/2020,44550,12200,38346,835.489990234375
03/06/2020,47850,12500,37240,891.4400024414063
03/05/2020,47700,12100,36566,893.3099975585938
03/04/2020,46600,11500,38491,889.3699951171875
03/03/2020,47000,11000,39357,890.6099853515625
03/02/2020,46800,11500,40900,884.4299926757813
02/28/2020,47200,11800,41000,882.1900024414063
02/27/2020,45300,11800,41150,898.4400024414063
02/26/2020,44850,11300,42000,895.969970703125
02/25/2020,45300,11100,41250,909.6699829101563
02/24/2020,48000,11300,42000,903.3400268554688
02/21/2020,47200,10800,40500,933.0900268554688
02/20/2020,46950,10800,38800,938.1300048828125
02/19/2020,43900,10900,38500,928.760009765625
02/18/2020,42250,10800,38850,927.9299926757813
02/17/2020,39500,10900,38050,934.77001953125
02/14/2020,40200,10900,38050,937.4500122070313
02/13/2020,40200,10500,38050,938.239990234375
02/12/2020,39500,10400,39000,937.6799926757813
02/11/2020,38900,10400,39500,934.6699829101563
02/10/2020,38100,10800,39500,930.72998046875
02/07/2020,38500,11500,39000,940.75
02/06/2020,36000,12100,38800,938.5399780273438
02/05/2020,33650,11800,39000,925.9099731445313
02/04/2020,33200,11500,39000,929.0900268554688
02/03/2020,34100,11400,39000,928.1400146484375
01/31/2020,36350,11200,39000,936.6199951171875
01/30/2020,39000,11100,38000,959.5800170898438
01/22/2020,40000,11200,38200,991.4600219726563
01/21/2020,38950,11300,38150,986.3699951171875
01/20/2020,39300,11200,38400,978.6300048828125
01/17/2020,40150,11000,39200,978.9600219726563
01/16/2020,40100,10800,39000,974.3099975585938
01/15/2020,38650,11200,39400,967.5599975585938
01/14/2020,38650,11500,39500,967
01/13/2020,38350,11700,39500,965.8400268554688
01/10/2020,38900,11300,38300,968.5399780273438
01/09/2020,39000,10600,39000,960.1500244140625
01/08/2020,37500,10200,39000,948.97998046875
01/07/2020,39000,10500,38500,958.8800048828125
01/06/2020,39100,10700,38050,955.7899780273438
01/03/2020,40300,10800,38800,965.1400146484375
01/02/2020,38750,10500,38950,966.6699829101563
12/31/2019,38200,11200,38200,960.989990234375
12/30/2019,38500,11900,39000,965.030029296875
12/27/2019,40450,12000,38900,963.510009765625
12/26/2019,40550,12000,38300,958.5900268554688
12/25/2019,41400,12400,38300,960.9199829101563
12/24/2019,40000,12500,39000,958.8800048828125
12/23/2019,41800,12500,38400,959.4299926757813
12/20/2019,44459,12400,38000,956.4099731445313
12/19/2019,47678,12300,38000,952.260009765625
12/18/2019,48891,12500,37900,951.1300048828125
12/17/2019,48611,12400,37500,954.030029296875
12/16/2019,48611,12600,38000,961.469970703125
12/13/2019,48331,12600,38000,966.1799926757813
12/12/2019,48518,12600,37000,968.1699829101563
12/11/2019,48051,12200,37000,961.780029296875
12/10/2019,50197,13000,36450,960.2999877929688
12/09/2019,53800,13600,36300,966.0599975585938
12/06/2019,54200,13700,35900,963.5599975585938
12/05/2019,54900,13800,35300,963.27001953125
12/04/2019,55000,13800,35350,965.9000244140625
12/03/2019,54600,13700,35450,953.4299926757813
12/02/2019,54000,14000,35350,959.3099975585938
11/29/2019,56800,14200,35650,970.75
11/28/2019,56800,14000,35700,970.3900146484375
11/27/2019,56200,13700,35900,978.1699829101563
11/26/2019,56400,13800,35000,976.7899780273438
11/25/2019,57000,13800,34400,976.3499755859375
11/22/2019,58000,13900,34500,977.780029296875
11/21/2019,58700,13900,35000,987.8900146484375
11/20/2019,59800,13800,35700,1000.559997558594
11/19/2019,57800,13900,35000,1008.349975585938
11/18/2019,56500,14000,36000,1002.909973144531
11/15/2019,56400,13900,36700,1010.030029296875
11/14/2019,55300,14100,36800,1012.299987792969
11/13/2019,55000,13900,36400,1012.77001953125
11/12/2019,56900,13900,36100,1018.330017089844
11/11/2019,57900,13900,36750,1016.75
11/08/2019,58200,14000,36900,1022.489990234375
11/07/2019,58100,14400,38000,1024.030029296875
11/06/2019,59000,14400,38600,1024.910034179688
11/05/2019,57200,14300,38300,1024.339965820313
11/04/2019,57800,14500,38200,1022.429992675781
11/01/2019,58700,14500,38600,1015.590026855469
10/31/2019,58900,13600,38550,998.8200073242188
10/30/2019,59000,13200,38250,1000.890014648438
10/29/2019,60000,13500,38000,995.8699951171875
